id,date,lon,lat,logit_g,g,type,bathymetry,current_velocity,mixed_layer_depth,temperature,rep,presence
M-150,2017-11-30T22:00:00Z,71.13042428678632,2.157193957262835,NA,NA,pseudo-absence,-4167.32275390625,0.07659601420164108,19.025745391845703,29.175268173217773,17,0
M-150,2017-12-02T22:00:00Z,70.50137063522457,1.4872018281649106,NA,NA,pseudo-absence,-4177.408203125,0.08044788241386414,19.755199432373047,29.245832443237305,17,0
M-150,2017-12-04T22:00:00Z,69.66704235576319,1.503831851606982,NA,NA,pseudo-absence,-3940.583251953125,0.07123593986034393,19.67083168029785,29.259023666381836,17,0
M-150,2017-12-06T22:00:00Z,69.29915804236987,2.0225287761938153,NA,NA,pseudo-absence,-3665.125,0.08031716197729111,19.164485931396484,29.243896484375,17,0
M-150,2017-12-08T22:00:00Z,68.05594586745538,1.7862384156545426,NA,NA,pseudo-absence,-3751.578125,0.07781251519918442,19.3532772064209,29.27953338623047,17,0
M-150,2017-12-10T22:00:00Z,67.17014184609225,1.6806644230830576,NA,NA,pseudo-absence,-2250.904541015625,0.0873342901468277,19.125690460205078,29.278627395629883,17,0
M-150,2017-12-12T22:00:00Z,66.6636707686362,1.7695030613566527,NA,NA,pseudo-absence,-3465.0068359375,0.0893358588218689,19.13589859008789,29.2761173248291,17,0
M-150,2017-12-14T22:00:00Z,65.96518845229765,1.4485007028858703,NA,NA,pseudo-absence,-3534.177001953125,0.08124587684869766,19.19312286376953,29.275480270385742,17,0
M-150,2017-12-16T22:00:00Z,64.84896586195941,0.600258038267769,NA,NA,pseudo-absence,-3411.572998046875,0.05370459705591202,19.7763671875,29.263166427612305,17,0
M-150,2017-12-18T22:00:00Z,64.15560394711068,0.09488523360013602,NA,NA,pseudo-absence,-3764.807373046875,0.04971030354499817,19.965700149536133,29.2542667388916,17,0
M-150,2017-12-20T22:00:00Z,64.06858141705469,0.13016169707100617,NA,NA,pseudo-absence,-3764.807373046875,0.04971030354499817,19.965700149536133,29.2542667388916,17,0
M-150,2017-12-22T22:00:00Z,64.80591102836077,0.3708468698450873,NA,NA,pseudo-absence,-3518.9130859375,0.045339714735746384,19.891305923461914,29.269153594970703,17,0
M-150,2017-12-24T22:00:00Z,64.8166091818796,0.14942954705314648,NA,NA,pseudo-absence,-3805.423583984375,0.03928960859775543,19.87367057800293,29.273906707763672,17,0
M-150,2017-12-26T22:00:00Z,65.61285872592613,-0.30176716931777187,NA,NA,pseudo-absence,-3550.880126953125,0.032356180250644684,19.829313278198242,29.28852653503418,17,0
M-150,2017-12-28T22:00:00Z,66.21986069370651,-0.8776216283132208,NA,NA,pseudo-absence,-3203.0693359375,0.050245750695466995,19.76551055908203,29.263578414916992,17,0
M-150,2017-12-30T22:00:00Z,66.86230560157973,-1.4489023509126255,NA,NA,pseudo-absence,-3476.671875,0.07966810464859009,19.049766540527344,29.184938430786133,17,0
M-150,2018-01-01T22:00:00Z,67.39072539098318,-1.820168983401349,NA,NA,pseudo-absence,-3114.236083984375,0.10357515513896942,18.773399353027344,29.14374542236328,17,0
M-150,2018-01-03T22:00:00Z,67.9858085672137,-2.2363104119568025,NA,NA,pseudo-absence,-2995.26904296875,0.13020996749401093,18.619434356689453,29.107839584350586,17,0
M-150,2018-01-05T22:00:00Z,69.56466838836704,-2.5013480506805608,NA,NA,pseudo-absence,-3781.560791015625,0.1494358777999878,18.225238800048828,29.11115264892578,17,0
M-150,2018-01-07T22:00:00Z,70.7624673236203,-2.5050776900274827,NA,NA,pseudo-absence,-4232.08837890625,0.1559390127658844,18.19244384765625,29.13067626953125,17,0
M-150,2018-01-09T22:00:00Z,70.43402102018906,-3.1505259521110545,NA,NA,pseudo-absence,-3917.539794921875,0.1624407321214676,18.067001342773438,29.004209518432617,17,0
M-150,2018-01-11T22:00:00Z,69.70671858872291,-4.644592365505872,NA,NA,pseudo-absence,-3955.710205078125,0.08690677583217621,19.5113525390625,28.72317123413086,17,0
M-150,2018-01-13T22:00:00Z,70.19991924332358,-5.801161497631426,NA,NA,pseudo-absence,-3921.88720703125,0.0359879732131958,20.3664608001709,28.547658920288086,17,0
M-150,2018-01-15T22:00:00Z,69.87462648359828,-7.072762116387813,NA,NA,pseudo-absence,-3900.38720703125,0.0730348750948906,21.255897521972656,28.409753799438477,17,0
M-150,2018-01-17T22:00:00Z,69.57673084834724,-8.112253270092072,NA,NA,pseudo-absence,-3905.5,0.12125879526138306,22.019569396972656,28.224817276000977,17,0
M-150,2018-01-19T22:00:00Z,70.0247815081909,-8.648621014623677,NA,NA,pseudo-absence,-2320.609375,0.1307702362537384,21.767955780029297,28.078838348388672,17,0
M-150,2018-01-21T22:00:00Z,69.86476318295085,-9.458192661237746,NA,NA,pseudo-absence,-2989.223876953125,0.13783912360668182,23.10816192626953,27.91787338256836,17,0
M-150,2018-01-23T22:00:00Z,69.37297662518125,-10.557069029105264,NA,NA,pseudo-absence,-3730.786376953125,0.16949576139450073,25.64463233947754,27.6583251953125,17,0
M-150,2018-01-25T22:00:00Z,69.19297830460582,-11.824274825488148,NA,NA,pseudo-absence,-3806.04345703125,0.2059505581855774,28.494985580444336,27.409725189208984,17,0
