species,common_name,date_time,lon,lat
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.536533,-11.570167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.1006,-11.737833
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.536533,-11.821567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.536533,-11.821567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.033533,-11.687433
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.536533,-11.469567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.536533,-11.469567
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.9557,-11.134233
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,96.670677,-7.117387
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,94.771367,-0.167717
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,94.385633,0.922167
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,90.218047,-0.268357
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,86.067167,2.586833
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,90.888673,4.670667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,92.20128,5.670667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,91.016767,5.436033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,91.016767,5.436033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,91.016767,5.436033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,91.25155,5.40248
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,86.0503,6.016787
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,86.0503,6.016787
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,86.0503,6.016787
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,86.0503,6.016787
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,86.0503,6.016787
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,86.0503,6.016787
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,89.335393,7.989243
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,90.620387,7.318647
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,92.067107,6.788093
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,92.435973,0.05033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,87.989263,0.20122
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,87.989263,0.20122
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,87.989263,0.20122
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,80.1007,3.3018
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,82.335413,5.55336
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,82.335413,5.55336
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,82.335413,5.55336
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,82.335413,5.55336
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,82.335413,5.55336
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,82.335413,5.55336
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,82.335413,5.55336
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,82.335413,5.55336
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,87.1509,5.134133
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.536583,11.318667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.536583,11.318667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.536583,11.318667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,60.536583,11.318667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,93.486333,4.9054
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,93.95578,5.670687
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,93.95578,5.670687
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,90.033553,8.033573
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.1006,-2.721017
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.0504,-3.4527
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,72.35212,9.419227
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,73,7.8552
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,74.9054,0.083883
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,74.067167,-3.519767
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,64.788103,3.720967
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,65.067087,-8.20127
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.871867,1.888633
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.838333,3.687433
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.335333,4.687533
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.586833,4.486333
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.184533,4.134233
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.1509,5.0001
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.570067,5.2013
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.285133,5.2012
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.469467,5.3522
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.469467,5.3522
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.469467,5.3522
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.0504,6.436033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.536533,6.5534
