pa,lon,lat,bathymetry,current_velocity,mixed_layer_depth,temperature,test_train
1,89.737803,-5.419187,-3810.5556640625,0.06526276469230652,22.24374771118164,28.7746524810791,train
1,85.083873,-5.637183,-5055.72216796875,0.0480227917432785,19.975154876708984,28.723499298095703,train
1,84.167767,-5.536563,-5061.8056640625,0.04670051485300064,19.496007919311523,28.737464904785156,train
1,83.670667,-6.436033,-5060.0556640625,0.055270563811063766,20.513965606689453,28.591686248779297,train
1,58.938933,2.2013,-4724.361328125,0.12176257371902466,19.79046630859375,28.852924346923828,train
1,89.2013,4.888633,-3811,0.058386512100696564,21.976491928100586,28.95566177368164,train
1,85.016767,3.419167,-4250.4443359375,0.014747639186680317,23.530622482299805,28.971214294433594,train
1,85.016767,3.419167,-4250.4443359375,0.014747639186680317,23.530622482299805,28.971214294433594,test
1,91.570167,2.1007,-4184.5,0.06475600600242615,20.57183837890625,29.26862144470215,train
1,85.586933,4.8048,-3943.416748046875,0.01698775216937065,23.640003204345703,28.827043533325195,train
1,82.2012,2.335333,-4362.08349609375,0.051710404455661774,23.75275421142578,29.032085418701172,train
1,82.2012,2.335333,-4362.08349609375,0.051710404455661774,23.75275421142578,29.032085418701172,train
1,81.771367,1.167667,-4493.388671875,0.11750782281160355,25.392528533935547,29.1666202545166,train
1,104.721067,-11.721067,-5075.25,0.15349507331848145,28.48517417907715,27.62821388244629,train
1,60.117467,-9.6037,-905.611083984375,0.2906751334667206,21.484455108642578,27.66745376586914,train
1,62.268277,4.40244,-2984.22216796875,0.016589321196079254,21.182573318481445,28.986949920654297,test
1,66.922227,-0.016807,-2264.22216796875,0.03574754670262337,19.90117645263672,29.31373405456543,train
1,59.838333,-4.7545,-4122.58349609375,0.22419734299182892,19.06991958618164,28.34894371032715,test
1,57.6037,-0.503,-4582.3056640625,0.12659898400306702,18.412506103515625,28.798307418823242,train
1,57.6037,-0.503,-4582.3056640625,0.12659898400306702,18.412506103515625,28.798307418823242,test
1,44.7042,-4.737733,-4521.33349609375,0.13703374564647675,23.064001083374023,27.582550048828125,train
1,50.2516,0.519767,-5037.861328125,0.10072671622037888,17.637208938598633,27.520320892333984,train
1,50.419267,1.385633,-5111.638671875,0.07475299388170242,18.248720169067383,27.440399169921875,train
1,51.838433,2.2012,-5117.58349609375,0.03096805140376091,18.610403060913086,27.59174156188965,train
1,55.9557,0.4527,-1084.22216796875,0.14329156279563904,19.096763610839844,28.499509811401367,train
1,56.0504,0.469567,-1034.9166259765625,0.1449217051267624,18.847675323486328,28.532541275024414,train
1,56.0504,0.469567,-1034.9166259765625,0.1449217051267624,18.847675323486328,28.532541275024414,test
1,56.0504,0.469567,-1034.9166259765625,0.1449217051267624,18.847675323486328,28.532541275024414,train
1,56.0504,0.469567,-1034.9166259765625,0.1449217051267624,18.847675323486328,28.532541275024414,test
1,58,-0.687433,-4610.638671875,0.11787211894989014,18.31781768798828,28.84131622314453,train
1,53.033533,-0.4527,-5040.638671875,0.10219603776931763,17.45902442932129,28.076940536499023,train
1,56.033583,0.419187,-299.52777099609375,0.1438552588224411,18.77388572692871,28.521453857421875,train
1,60.3019,-9.771267,-1317.6666259765625,0.3152693510055542,21.55460548400879,27.652070999145508,test
1,65.016867,7.335333,-4845.5556640625,0.053767722100019455,23.633586883544922,28.838340759277344,test
1,55.989233,0.519767,-1436.8333740234375,0.14321240782737732,19.115867614746094,28.49884796142578,test
1,55.989233,0.519767,-1436.8333740234375,0.14321240782737732,19.115867614746094,28.49884796142578,train
1,55.721007,0.50305,-4606.47216796875,0.13950876891613007,18.64474868774414,28.475940704345703,train
1,55.972537,0.40243,-1181.0833740234375,0.14344005286693573,18.76416015625,28.517318725585938,train
1,54.9558,0.419167,-4740.41650390625,0.1271553784608841,18.181386947631836,28.35230255126953,train
1,54.9558,0.419167,-4740.41650390625,0.1271553784608841,18.181386947631836,28.35230255126953,train
1,51.083913,-1.20128,-5038.08349609375,0.1003907099366188,17.46028709411621,27.909996032714844,train
1,50.167667,0.1006,-5058.4443359375,0.11570502817630768,17.523487091064453,27.566078186035156,train
1,54.217967,2.972527,-5042.25,0.06656111031770706,20.253154754638672,28.009601593017578,train
1,55.9557,2.335333,-5027.22216796875,0.09280005842447281,20.06763458251953,28.445661544799805,test
1,64.45275,-3,-4166.97216796875,0.15991204977035522,19.747888565063477,28.918935775756836,train
1,59.788083,-3.721067,-4034.388916015625,0.2734904885292053,19.344276428222656,28.610065460205078,train
1,59.788083,-3.721067,-4034.388916015625,0.2734904885292053,19.344276428222656,28.610065460205078,train
1,61.2516,-12.469477,-349.72222900390625,0.3285093307495117,25.96476173400879,27.10774803161621,train
1,61.486333,-9.335393,-2336.416748046875,0.2911994159221649,22.245481491088867,27.7269344329834,test
1,62.285133,-10.3019,-585.02777099609375,0.16522179543972015,19.635562896728516,27.50012969970703,train
1,62.0001,-11.821567,-486.9444580078125,0.22353236377239227,25.87299346923828,27.284387588500977,train
1,62.9055,-12.016867,-3627.333251953125,0.2244540899991989,27.477825164794922,27.291410446166992,train
1,69.335333,-4.570167,-3731.9443359375,0.09419428557157516,19.39604377746582,28.72825813293457,train
1,60.419267,-11.385633,-2456.583251953125,0.12905322015285492,25.58064842224121,27.24362564086914,train
1,60.335333,-9.670667,-1178.111083984375,0.3460754454135895,21.54575538635254,27.67991828918457,train
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,train
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,test
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,train
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,train
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,train
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,train
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,train
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,test
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,test
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,train
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,train
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,train
1,71.385633,-7.385683,-322.77777099609375,0.04724721610546112,19.10181427001953,28.143884658813477,test
